epoch,loss,lr,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.0692814588546753,0.001,0.6351823806762695,0.4782637655735016,0.8364301919937134
1,0.32021698355674744,0.001,0.8914283514022827,0.251895546913147,0.9144144058227539
2,0.1872018724679947,0.001,0.9373593926429749,0.18389812111854553,0.9396114945411682
3,0.133797287940979,0.001,0.9558764696121216,0.1490236520767212,0.9522804021835327
4,0.09357912093400955,0.001,0.9685893058776855,0.1350199431180954,0.9583333134651184
5,0.07130163908004761,0.001,0.975939929485321,0.1225479394197464,0.9605855941772461
6,0.06308210641145706,0.001,0.9786310791969299,0.14195433259010315,0.959037184715271
7,0.0597432479262352,0.001,0.9803382158279419,0.12209901958703995,0.963119387626648
8,0.045151568949222565,0.001,0.9853590726852417,0.119539774954319,0.9663569927215576
9,0.044300422072410583,0.001,0.9860820770263672,0.12268323451280594,0.9634009003639221
10,0.040002867579460144,0.001,0.9867247939109802,0.10614864528179169,0.9691722989082336
11,0.03849276527762413,0.001,0.9875080585479736,0.11248783022165298,0.9677646160125732
12,0.030200565233826637,0.001,0.9904000759124756,0.10036054998636246,0.974662184715271
13,0.031923167407512665,0.001,0.9903799891471863,0.11192110180854797,0.9697353839874268
14,0.011774435639381409,0.0004,0.9965656995773315,0.07863544672727585,0.9791666865348816
15,0.004076036624610424,0.0004,0.9990761280059814,0.06704593449831009,0.9836711883544922
16,0.0037482869811356068,0.0004,0.9990561008453369,0.07340557873249054,0.9826858043670654
17,0.005169052165001631,0.0004,0.9986745119094849,0.09411316365003586,0.9776182174682617
18,0.008257939480245113,0.0004,0.9976702928543091,0.08176322281360626,0.9795889854431152
19,0.005615833681076765,0.0004,0.9984334707260132,0.09265720099210739,0.978462815284729
20,0.004688996355980635,0.0004,0.9984937310218811,0.09594158083200455,0.9755067825317383
21,0.008271295577287674,0.0004,0.9974493980407715,0.08492974936962128,0.9795889854431152
22,0.0061069633811712265,0.0004,0.998112142086029,0.08699918538331985,0.9811373949050903
23,0.005533228162676096,0.0004,0.998353123664856,0.08609268814325333,0.9817004799842834
24,0.004309234209358692,0.0004,0.9987146258354187,0.09922632575035095,0.977477490901947
25,0.005500734783709049,0.0004,0.9983330368995667,0.08506857603788376,0.9795889854431152
